version-runtime,version-sdk,date,dlc-runtime,dlc-sdk,blob-runtime,blob-sdk,runtime-linux-x64,runtime-mac-x64,runtime-win-x86,runtime-win-x64,sdk-linux-x64,sdk-mac-x64,sdk-win-x86,sdk-win-x64,runtime-centos,runtime-debian,runtime-fedora.23,runtime-fedora.24,runtime-fedora.27,runtime-fedora.28,runtime-opensuse.13.2,runtime-opensuse.42.1,runtime-opensuse.42.3,runtime-ubuntu.14.04,runtime-ubuntu.16.04,runtime-ubuntu.16.10,runtime-ubuntu.18.04,sdk-centos,sdk-debian,sdk-fedora.23,sdk-fedora.24,sdk-fedora.27,sdk-fedora.28,sdk-opensuse.13.2,sdk-opensuse.42.1,sdk-opensuse.42.3,sdk-ubuntu.14.04,sdk-ubuntu.16.04,sdk-ubuntu.16.10,sdk-ubuntu.18.04,checksums-runtime,checksums-sdk,security,lts-runtime,lts-sdk
3.0.0-preview3-27503-5,3.0.100-preview3-010431,3/6/2019,,,https://dotnetcli.blob.core.windows.net/dotnet/Runtime/3.0.0-preview3-27503-5/,https://dotnetcli.blob.core.windows.net/dotnet/Sdk/3.0.100-preview3-010431/,https://download.visualstudio.microsoft.com/download/pr/01cf5a3b-24a5-4de1-8a25-9b57583bd737/f27582e4520e14b7e9ab3f7f239e1e3c/dotnet-runtime-3.0.0-preview3-27503-5-linux-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/4af9752c-5280-4594-a64d-f352ca5eb6bf/144f1f651ea56bd42eb124e9193531ad/dotnet-runtime-3.0.0-preview3-27503-5-osx-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/7faa8235-56f2-4d50-a303-2510d58d498f/1faaefee406ce2a229a7afe340b378de/dotnet-runtime-3.0.0-preview3-27503-5-win-x86.zip,https://download.visualstudio.microsoft.com/download/pr/4fc551ff-0fbc-45ae-b35f-a8666ff1986f/0a6f2d0cf10379b47f6d55be5c31b95b/dotnet-runtime-3.0.0-preview3-27503-5-win-x64.zip,https://download.visualstudio.microsoft.com/download/pr/35c9c95a-535e-4f00-ace0-4e1686e33c6e/b9787e68747a7e8a2cf8cc530f4b2f88/dotnet-sdk-3.0.100-preview3-010431-linux-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/b143a92e-d578-4cc8-98e9-643d21db2449/2d16596ab2eeae83e88cbd7371356687/dotnet-sdk-3.0.100-preview3-010431-osx-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/6cb97702-11c3-4539-a096-000761a4ea5e/24ff3e39d069f895c026f2f90f3d7d02/dotnet-sdk-3.0.100-preview3-010431-win-x86.zip,https://download.visualstudio.microsoft.com/download/pr/14417e56-3f88-486d-8065-ef802653699b/30cfec0c5c4af7993e7ce83670fb279b/dotnet-sdk-3.0.100-preview3-010431-win-x64.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dotnetcli.blob.core.windows.net/dotnet/checksums/3.0.0-preview3-27503-5-runtime-sha.txt,https://dotnetcli.blob.core.windows.net/dotnet/checksums/3.0.100-preview-010184-sdk-sha.txt,FALSE,FALSE,FALSE
1.1.11,1.1.12,2/12/19,,,https://dotnetcli.blob.core.windows.net/dotnet/Runtime/1.0.11/,https://dotnetcli.blob.core.windows.net/dotnet/Sdk/1.1.12/,,https://download.visualstudio.microsoft.com/download/pr/a3418849-3fac-4c6d-a170-2f6e8b0a4639/91ba64ea0e4b003903d1240fd51a40f9/dotnet-osx-x64.1.1.11.tar.gz,https://download.visualstudio.microsoft.com/download/pr/c5a635f3-2234-4fb3-a7e4-1e2831898f1c/b210573eaa206aa8c4460c18d8e7b549/dotnet-win-x86.1.1.11.zip,https://download.visualstudio.microsoft.com/download/pr/0f63342c-d030-4ff4-a0ed-e2dda4a76606/0453cb61560044a4e250da5f8e9e012f/dotnet-win-x64.1.1.11.zip,,https://download.visualstudio.microsoft.com/download/pr/29ae1d6c-7fa5-4c1d-8422-296d3a2caf78/46279fdc51ebd3b2ece9ef2af52e0a2a/dotnet-dev-osx-x64.1.1.12.tar.gz,https://download.visualstudio.microsoft.com/download/pr/38e6233f-10ce-4607-9220-74e2fa8b07f5/247a2c16a3cb8d2aa8a110b17ebf6be3/dotnet-dev-win-x86.1.1.12.zip,https://download.visualstudio.microsoft.com/download/pr/8d6e2375-2ba7-4126-b5b7-3228004b7f41/b8894d02f002d2b77f72e6abb899c02e/dotnet-dev-win-x64.1.1.12.zip,https://download.visualstudio.microsoft.com/download/pr/dff4449f-59c0-47c3-9fbd-fee92af25363/c9732b96c6c81cc66e3aacd782a7eafb/dotnet-centos-x64.1.1.11.tar.gz,https://download.visualstudio.microsoft.com/download/pr/8543193c-3c50-4709-90d6-632e3c37ae2b/c8919995f8eda0b236d91459b3ab4f4b/dotnet-debian-x64.1.1.11.tar.gz,,,https://download.visualstudio.microsoft.com/download/pr/4597de53-759b-4acd-8620-7696bf3907be/f9db799e66151d0b5cd1e27d2d2259f4/dotnet-fedora.27-x64.1.1.11.tar.gz,https://download.visualstudio.microsoft.com/download/pr/8c8dd0e9-3869-46c6-a92d-d96c1f4e8abf/b9c4110cb9670d3993ce314db2e16659/dotnet-fedora.28-x64.1.1.11.tar.gz,,,https://download.visualstudio.microsoft.com/download/pr/7e44ca1a-f3f9-4b75-88df-c9227203af0f/eebc0332b07e58b85e14f6834b934f61/dotnet-opensuse.42.3-x64.1.1.11.tar.gz,https://download.visualstudio.microsoft.com/download/pr/8dc8c129-0fff-4f6e-9794-dace60b4d0ca/171b94583982ddbb5db52c4c101be0de/dotnet-ubuntu-x64.1.1.11.tar.gz,https://download.visualstudio.microsoft.com/download/pr/fea9884d-7f74-4b23-98c5-0c57b9ed7e92/c909109068c645e62b1218f2e8f90180/dotnet-ubuntu.16.04-x64.1.1.11.tar.gz,,https://download.visualstudio.microsoft.com/download/pr/b25b5650-0cb8-4699-a347-48d73650da0b/920966211e9bb1907232bbda1faa895a/dotnet-ubuntu.18.04-x64.1.1.11.tar.gz,https://download.visualstudio.microsoft.com/download/pr/09aedb07-8a94-46ff-a918-c6473515bf55/ca71af8d4eb09739a3c9a857a07a759c/dotnet-dev-centos-x64.1.1.12.tar.gz,https://download.visualstudio.microsoft.com/download/pr/1ef84426-c1d0-4e3b-86a4-7fce48baecb8/a47dbe0cd3bc1eefdabbf9354f60004b/dotnet-dev-debian-x64.1.1.12.tar.gz,,,https://download.visualstudio.microsoft.com/download/pr/39252331-fe25-4a60-93bf-ce539e845486/4460d21b02eb3192227ebf380fbf02c1/dotnet-dev-fedora.27-x64.1.1.12.tar.gz,https://download.visualstudio.microsoft.com/download/pr/bcf335f2-42de-4838-bf14-e0332c071133/e065915283c0c4e7d37f2f63c4db6d20/dotnet-dev-fedora.28-x64.1.1.12.tar.gz,,,https://download.visualstudio.microsoft.com/download/pr/fe9b139b-e498-4166-b338-46eadcccd750/6908d39118b5345a44f5a9e9136cbc41/dotnet-dev-opensuse.42.3-x64.1.1.12.tar.gz,https://download.visualstudio.microsoft.com/download/pr/bf80af6a-4d6f-42c0-963b-4b121168617a/b47616e8578d4add910c6f8a612ae2b3/dotnet-dev-ubuntu-x64.1.1.12.tar.gz,https://download.visualstudio.microsoft.com/download/pr/83fa051b-10fb-482c-9fc8-c010eebfb4be/477b619412116db67e9e74284ba6dee3/dotnet-dev-ubuntu.16.04-x64.1.1.12.tar.gz,,https://download.visualstudio.microsoft.com/download/pr/9154931b-2255-488f-8b06-a1d501dfc413/81cb4c1af6f42e0d2da959b70502a057/dotnet-dev-ubuntu.18.04-x64.1.1.12.tar.gz,https://dotnetcli.blob.core.windows.net/dotnet/checksums/1.0.11-runtime-sha.txt,https://dotnetcli.blob.core.windows.net/dotnet/checksums/1.1.12-sdk-sha.txt,TRUE,FALSE,FALSE
1.0.14,1.1.12,2/12/19,,,https://dotnetcli.blob.core.windows.net/dotnet/Runtime/1.0.14/,https://dotnetcli.blob.core.windows.net/dotnet/Sdk/1.1.12/,,https://download.visualstudio.microsoft.com/download/pr/b1ca4664-75db-447f-822d-8241076afd6d/38bfc95677b84ddf89b88076bc02e568/dotnet-osx-x64.1.0.14.tar.gz,https://download.visualstudio.microsoft.com/download/pr/07df6429-653d-40b6-8ca9-1ac057cb18f0/ece705a63186bf9178e2d558f98a1173/dotnet-win-x86.1.0.14.zip,https://download.visualstudio.microsoft.com/download/pr/69253d46-3c91-4da3-baaf-8d73aecbc9b4/c19486707ad2f64cc54c547dcec1f665/dotnet-win-x64.1.0.14.zip,,https://download.visualstudio.microsoft.com/download/pr/7e10916f-fee4-48af-9092-6b615c33fcb1/90d2ac564a9438263403a6d5f6591604/dotnet-dev-osx-x64.1.1.12.tar.gz,https://download.visualstudio.microsoft.com/download/pr/e9ac1c13-44b9-48ff-a607-ae7b888ad3b8/49bea32eca4b5d897bfc763f2176a3a9/dotnet-dev-win-x86.1.1.12.zip,https://download.visualstudio.microsoft.com/download/pr/cdb1d5fc-5bfb-466e-8339-226d57b3d111/3d29a36420acfd92990f5caec5371395/dotnet-dev-win-x64.1.1.12.zip,https://download.visualstudio.microsoft.com/download/pr/49f8157c-f170-4e0e-88ab-20170f9f5354/3fe0e777d5953e2919e7ca0a78c08737/dotnet-centos-x64.1.0.14.tar.gz,https://download.visualstudio.microsoft.com/download/pr/cf9005e0-2e04-45c5-95fb-617cd1cf23d2/7638479ba289bc6e78e7c4736216f106/dotnet-debian-x64.1.0.14.tar.gz,,,,,,,,https://download.visualstudio.microsoft.com/download/pr/1282329b-86c2-46d9-82aa-eeb6f5fdd135/e761a40a16f208c081467249c6a43a5b/dotnet-ubuntu-x64.1.0.14.tar.gz,https://download.visualstudio.microsoft.com/download/pr/c94db830-8ea2-4807-aca6-1fe9d24bdf5d/423d41f788a1ec4cc1d6fbbf1cde1cbf/dotnet-ubuntu.16.04-x64.1.0.14.tar.gz,,,https://download.visualstudio.microsoft.com/download/pr/7194a455-9b52-457a-8a59-15df325dd314/035a9b190cffb76b0447f4c0851b4501/dotnet-dev-centos-x64.1.1.12.tar.gz,https://download.visualstudio.microsoft.com/download/pr/f4f3687c-3f20-4280-9357-ffb18a607533/b41921e085d9f2c4cc6304b66d4497f7/dotnet-dev-debian-x64.1.1.12.tar.gz,,,,,,,,https://download.visualstudio.microsoft.com/download/pr/fa54b546-688e-48d3-a768-d91bfec434c8/f7e2dfb770983cbd673e0ab461de779b/dotnet-dev-ubuntu-x64.1.1.12.tar.gz,https://download.visualstudio.microsoft.com/download/pr/02e1b6f8-1fac-45b7-a23c-498a67b9a943/829bb9debbc78ccda8dbc2298ec2c942/dotnet-dev-ubuntu.16.04-x64.1.1.12.tar.gz,,,https://dotnetcli.blob.core.windows.net/dotnet/checksums/1.0.14-runtime-sha.txt,https://dotnetcli.blob.core.windows.net/dotnet/checksums/1.1.12-sdk-sha.txt,TRUE,FALSE,FALSE
2.1.8,2.1.504,2/12/19,,,https://dotnetcli.blob.core.windows.net/dotnet/Runtime/2.1.8/,https://dotnetcli.blob.core.windows.net/dotnet/Sdk/2.1.504/,https://download.visualstudio.microsoft.com/download/pr/eae50d35-ec30-4416-829a-36e8b5158f22/52d8370bea6e696cee4280bec0eda4bc/dotnet-runtime-2.1.8-linux-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/492b8744-10e1-47da-8bb3-6878dc3eed3e/b830851d9937aa83525b2a6088f91db6/dotnet-runtime-2.1.8-osx-x64.pkg,https://download.visualstudio.microsoft.com/download/pr/80cf31e3-1835-4ad1-965d-4971589fe501/7c4bf547ee314069b2482b22dbc778e8/dotnet-runtime-2.1.8-win-x86.zip,https://download.visualstudio.microsoft.com/download/pr/9b5aa463-d86c-4f8c-8dbb-26e323021246/3b75b083359c97b79da538cf40b041a0/dotnet-runtime-2.1.8-win-x64.zip,https://download.visualstudio.microsoft.com/download/pr/b35cf035-09d9-444a-8f62-c972fd6f2be0/4068a391164715232bbf4477b349643f/dotnet-sdk-2.1.504-linux-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/68152d1c-8ed5-4fc1-9894-8956c33fe4c8/73425e378edcfce4c8537c37a5ec7649/dotnet-sdk-2.1.504-osx-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/52f4576e-d2d2-4b57-a5cd-6a8561b86b5f/ef765a8e9a2fa3ab55449e09eb5f513f/dotnet-sdk-2.1.504-win-x86.zip,https://download.visualstudio.microsoft.com/download/pr/88364f95-160b-4820-9a5b-1d00b619dee7/5021f130569e524eacc2e3a8e6933e62/dotnet-sdk-2.1.504-win-x64.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dotnetcli.blob.core.windows.net/dotnet/checksums/2.1.8-runtime-sha.txt,https://dotnetcli.blob.core.windows.net/dotnet/checksums/2.1.504-sdk-sha.txt,TRUE,TRUE,FALSE
2.2.2,2.2.104,2/12/19,,,https://dotnetcli.blob.core.windows.net/dotnet/Runtime/2.2.2/,https://dotnetcli.blob.core.windows.net/dotnet/Sdk/2.2.104/,https://download.visualstudio.microsoft.com/download/pr/97b97652-4f74-4866-b708-2e9b41064459/7c722daf1a80a89aa8c3dec9103c24fc/dotnet-runtime-2.2.2-linux-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/d1f0dfb3-b6bd-42ae-895f-f149bf1d90ca/9b1fb91a9692fc31d6fc83e97caba4cd/dotnet-runtime-2.2.2-osx-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/97b777ee-6b4e-4d26-9f73-6b33a99e0f67/93458d5a38d673757768eed2f6cec926/dotnet-runtime-2.2.2-win-x86.zip,https://download.visualstudio.microsoft.com/download/pr/b10d0a68-b720-48ae-bab8-4ac39bd1b5d3/f32b8b41dff5c1488c2b915a007fc4a6/dotnet-runtime-2.2.2-win-x64.zip,https://download.visualstudio.microsoft.com/download/pr/69937b49-a877-4ced-81e6-286620b390ab/8ab938cf6f5e83b2221630354160ef21/dotnet-sdk-2.2.104-linux-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/7b61ec42-34d4-443a-9472-10db3b600b00/331956fdc0884ec01aaa5aa44360fce2/dotnet-sdk-2.2.104-osx-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/59e18010-8e57-4073-add2-d2b5cfbc5e58/8fa6831c7be0800889324640e29476f4/dotnet-sdk-2.2.104-win-x86.zip,https://download.visualstudio.microsoft.com/download/pr/e7a3e196-1b15-45d4-8a4a-2f940cf8c3be/975a1ec833505505adf5b867990d441a/dotnet-sdk-2.2.104-win-x64.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dotnetcli.blob.core.windows.net/dotnet/checksums/2.2.2-runtime-sha.txt,https://dotnetcli.blob.core.windows.net/dotnet/checksums/2.2.104-sdk-sha.txt,TRUE,FALSE,FALSE
3.0.0-preview-27324-5,3.0.100-preview-010184,1/29/19,,,https://dotnetcli.blob.core.windows.net/dotnet/Runtime/3.0.0-preview-27324-5/,https://dotnetcli.blob.core.windows.net/dotnet/Sdk/3.0.100-preview-010184/,https://download.visualstudio.microsoft.com/download/pr/f29a6be7-72a1-493c-a047-f01c93e67b15/c40ce83a8f85432d4c8a019ea5a7a34f/dotnet-runtime-3.0.0-preview-27324-5-linux-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/a3e75c91-9f50-4509-b525-eaf83da3e037/497a1ddf6739df041de49c01599378f4/dotnet-runtime-3.0.0-preview-27324-5-osx-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/3d12d669-d0ec-47e5-abdf-7a836280510b/78f592341859c071ab92ce893f5be66b/dotnet-runtime-3.0.0-preview-27324-5-win-x86.zip,https://download.visualstudio.microsoft.com/download/pr/1abbe748-2565-422b-aae9-e127a138c2fb/ae4ddb0d6820f9f32374d85b352646dd/dotnet-runtime-3.0.0-preview-27324-5-win-x64.zip,https://download.visualstudio.microsoft.com/download/pr/efa6dde9-a5ee-4322-b13c-a2a02d3980f0/dad445eba341c1d806bae5c8afb47015/dotnet-sdk-3.0.100-preview-010184-linux-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/e1cff8a8-9c60-4818-92c4-ac2ebe8fc47f/cce8dd19438ac62ff52d80fab7a61093/dotnet-sdk-3.0.100-preview-010184-osx-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/760485de-7ad3-4cf7-aa48-1fd5aaf4f4f6/eb1e06460b5b061f6a61068fabeb28f8/dotnet-sdk-3.0.100-preview-010184-win-x86.zip,https://download.visualstudio.microsoft.com/download/pr/918c5936-1c58-4a6a-b738-0a9766ec6192/4f17576e7efe45c447a088adda08b2f9/dotnet-sdk-3.0.100-preview-010184-win-x64.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dotnetcli.blob.core.windows.net/dotnet/checksums/3.0.0-preview-27324-5-runtime-sha.txt,https://dotnetcli.blob.core.windows.net/dotnet/checksums/3.0.100-preview-010184-sdk-sha.txt,FALSE,FALSE,FALSE
2.2.1,2.2.103,1/16/19,,,https://dotnetcli.blob.core.windows.net/dotnet/Runtime/2.2.1/,https://dotnetcli.blob.core.windows.net/dotnet/Sdk/2.1.103/,https://download.visualstudio.microsoft.com/download/pr/372f18c3-f642-4b73-8255-40a87430a9bb/dd0b412220dc49868b0ba1c58252b6d0/dotnet-runtime-2.2.1-linux-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/a524eeaa-dff9-4874-8753-50c46621ba52/30a95c310b7fd4e801417f58f9fb4562/dotnet-runtime-2.2.1-osx-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/0319d1d8-88ca-4521-a060-1729ac2fe185/6cd6fadcbed713ff9f64191097920315/dotnet-runtime-2.2.1-win-x86.zip,https://download.visualstudio.microsoft.com/download/pr/16ccdfd9-b366-4a0c-9b56-a750ea66fd58/b2248c6bed9481c71cad09ed88ae92a0/dotnet-runtime-2.2.1-win-x64.zip,https://download.visualstudio.microsoft.com/download/pr/296e116b-30d7-4e1c-8238-ec8c7c4c7b79/43d6cd35d95e38675d472c56a24c3bd0/dotnet-sdk-2.2.103-linux-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/7315b6a5-b535-4349-892a-7ec82b573724/f44f5f852f0ef4364cff9d00035a3987/dotnet-sdk-2.2.103-osx-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/f2c86d9c-0e92-40a5-ae12-6b597db814ff/41e297c11b972e135a6afe20db27acd4/dotnet-sdk-2.2.103-win-x86.zip,https://download.visualstudio.microsoft.com/download/pr/c332d70f-6582-4471-96af-4b0c17a616ad/5f3043d4bc506bf91cb89fa90462bb58/dotnet-sdk-2.2.103-win-x64.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dotnetcli.blob.core.windows.net/dotnet/checksums/2.2.1-runtime-sha.txt,https://dotnetcli.blob.core.windows.net/dotnet/checksums/2.2.103-sdk-sha.txt,TRUE,FALSE,FALSE
3.0.0-preview-27122-01,3.0.100-preview-009812,12/4/18,,,https://dotnetcli.blob.core.windows.net/dotnet/Runtime/3.0.0-preview-27122-01/,https://dotnetcli.blob.core.windows.net/dotnet/Sdk/3.0.100-preview-009812/,https://download.visualstudio.microsoft.com/download/pr/e160137d-6724-4ac1-84a2-3c0630b8e45f/3c6b990513498b7007e646f383f57654/dotnet-runtime-3.0.0-preview-27122-01-linux-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/08ffb245-632f-4bbb-8e5c-587f58a38bac/fc85e87e32b96c7836ed2e9fa70d266c/dotnet-runtime-3.0.0-preview-27122-01-osx-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/2cc395c2-53dc-4724-b6ab-d5acfef08fef/8418fef4b81dc3d07084b2bbee14e943/dotnet-runtime-3.0.0-preview-27122-01-win-x86.zip,https://download.visualstudio.microsoft.com/download/pr/da8e8666-ee52-4f05-8752-f1ecfba0fd4b/cb2191b53928b593d11f52fcb54d5d5e/dotnet-runtime-3.0.0-preview-27122-01-win-x64.zip,https://download.visualstudio.microsoft.com/download/pr/9f071c35-36b4-48c9-bcc2-b381ecb6cada/5be4784f19c28cb58f8c79219347201a/dotnet-sdk-3.0.100-preview-009812-linux-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/55dc08a2-c7e9-4ba4-8a46-3f0272f870f3/bac5328572e26ed2ef5f63fbbc1e4522/dotnet-sdk-3.0.100-preview-009812-osx-x64.tar.gz,https://download.visualstudio.microsoft.com/download/pr/8dbffd27-1acc-467d-b9fe-fb84332b8b2e/e34c8d63d88e4597e181ab6d2737e380/dotnet-sdk-3.0.100-preview-009812-win-x86.zip,https://download.visualstudio.microsoft.com/download/pr/453ffc14-c117-40b9-ba1a-077b6d457f0a/c34170b167165a6b15716ab86ce73c4e/dotnet-sdk-3.0.100-preview-009812-win-x64.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dotnetcli.blob.core.windows.net/dotnet/checksums/3.0.0-preview-27122-01-runtime-sha.txt,https://dotnetcli.blob.core.windows.net/dotnet/checksums/3.0.100-preview-009812-sdk-sha.txt,FALSE,FALSE,FALSE
